Year,Intl_Name,PH_Name,Province,Deaths,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP),Category
2011,Nesat,Pedring,Aurora,0,57146,545,5743,6288,30390000,179136585,Strong typhoon
2011,Nesat,Pedring,Bataan,1,240659,420,2354,2774,25750000,344163300,Strong typhoon
2011,Nesat,Pedring,Bulacan,24,587440,877,2429,3306,157350000,2578473867,Strong typhoon
2011,Nesat,Pedring,Nueva Ecija,11,513320,361,1769,2130,233039090,3988649826,Strong typhoon
2011,Nesat,Pedring,Pampanga,8,492763,88,1093,1181,156537080,1891006011,Strong typhoon
2011,Nesat,Pedring,Tarlac,0,111868,26,71,97,168100000,899767418,Strong typhoon
2011,Nesat,Pedring,Zambales,8,120806,1244,5373,6617,120704540,249505362.8,Strong typhoon
2011,Nesat,Pedring,Batangas,1,4792,9,81,90,0,6484012,Strong typhoon
2011,Nesat,Pedring,Cavite,0,18048,80,281,361,0,19543379.2,Strong typhoon
2011,Nesat,Pedring,Laguna,0,195,0,3,3,0,70323825,Strong typhoon
2011,Nesat,Pedring,Quezon,0,90,0,0,0,3350000,46631400,Strong typhoon
2011,Nesat,Pedring,Rizal,1,109541,2,12,14,0,28644603,Strong typhoon
2011,Nesat,Pedring,Occidental Mindoro,3,10178,3,1,4,85000000,537947320,Strong typhoon
2011,Nesat,Pedring,Oriental Mindoro,0,236,0,0,0,0,0,Strong typhoon
2011,Nesat,Pedring,Romblon,0,185,1,5,6,0,0,Strong typhoon
2011,Nesat,Pedring,Albay,0,73324,0,8,8,21044905,121367100.1,Strong typhoon
2011,Nesat,Pedring,Camarines Norte,0,95,0,0,0,0,12496384.9,Strong typhoon
2011,Nesat,Pedring,Camarines Sur,2,38535,5,786,791,16015000,286479075,Strong typhoon
2011,Nesat,Pedring,Catanduanes,1,2812,12,42,54,20700500,17132463.92,Strong typhoon
2011,Nesat,Pedring,Antique,0,12,1,0,1,10000000,0,Strong typhoon
2011,Nesat,Pedring,Iloilo,0,309,12,64,76,36190000,1070000,Strong typhoon
2011,Nesat,Pedring,Abra,0,129,2,35,37,14400000,25040640,Strong typhoon
2011,Nesat,Pedring,Apayao,0,10178,0,10,10,2190000,43740654,Strong typhoon
2011,Nesat,Pedring,Benguet,1,961,14,36,50,4864000,40621675,Strong typhoon
2011,Nesat,Pedring,Ifugao,4,6347,90,1157,1247,0,370852250,Strong typhoon
2011,Nesat,Pedring,Kalinga,0,22457,8,322,330,0,171867880,Strong typhoon
2011,Nesat,Pedring,Mountain Province,0,1809,3,111,114,4650000,130865750,Strong typhoon
2011,Nesat,Pedring,Palawan,2,0,0,0,0,0,0,Strong typhoon
2011,Nesat,Pedring,Sorsogon,0,0,2,15,17,0,29054560.11,Strong typhoon
2011,Nesat,Pedring,Negros Occidental,0,0,2,4,6,15000000,60320000,Strong typhoon
2011,Nalgae,Quiel,Ilocos Sur,1,20,0,0,0,0,0,Very strong typhoon
2011,Nalgae,Quiel,La Union,0,8671,35,554,589,0,0,Very strong typhoon
2011,Nalgae,Quiel,Pangasinan,3,231932,85,2593,2678,0,0,Very strong typhoon
2011,Nalgae,Quiel,Cagayan,1,34498,3,3,6,1875527.81,0,Very strong typhoon
2011,Nalgae,Quiel,Isabela,0,260904,2315,10289,12604,15200000,0,Very strong typhoon
2011,Nalgae,Quiel,Nueva Vizcaya,0,52742,0,0,0,35000000,0,Very strong typhoon
2011,Nalgae,Quiel,Quirino,0,55163,73,136,209,63000000,0,Very strong typhoon
2011,Nalgae,Quiel,Aurora,0,14673,0,0,0,0,0,Very strong typhoon
2011,Nalgae,Quiel,Bulacan,0,68402,104,485,589,0,0,Very strong typhoon
2011,Nalgae,Quiel,Nueva Ecija,0,100633,89,475,564,0,0,Very strong typhoon
2011,Nalgae,Quiel,Pampanga,2,89651,10,568,578,0,0,Very strong typhoon
2011,Nalgae,Quiel,Tarlac,7,173739,40,108,148,0,0,Very strong typhoon
2011,Nalgae,Quiel,Zambales,0,19300,77,56,133,0,0,Very strong typhoon
2011,Nalgae,Quiel,Apayao,0,102,0,1,1,0,0,Very strong typhoon
2011,Nalgae,Quiel,Benguet,1,139,2,27,29,0,0,Very strong typhoon
2011,Nalgae,Quiel,Ifugao,0,211,10,78,88,0,0,Very strong typhoon
2011,Nalgae,Quiel,Kalinga,0,2954,2,9,11,0,0,Very strong typhoon
2011,Nalgae,Quiel,Mountain Province,0,29,3,11,14,0,0,Very strong typhoon
2011,Nalgae,Quiel,Bataan,3,0,0,0,0,0,0,Very strong typhoon
2011,Banyan,Ramon,Iloilo,5,1546,4,0,4,0,0,Tropical storm
2011,Banyan,Ramon,Cebu,2,11390,1,2,3,0,0,Tropical storm
2011,Banyan,Ramon,Agusan del Norte,1,0,0,0,0,0,0,Tropical storm
2011,Banyan,Ramon,Romblon,2,5305,12,19,31,0,0,Tropical storm
2011,Banyan,Ramon,Oriental Mindoro,0,1740,10,7,17,0,0,Tropical storm
2011,Banyan,Ramon,Capiz,0,38621,2,0,2,0,0,Tropical storm
2011,Banyan,Ramon,Occidental Mindoro,0,657,0,0,0,0,0,Tropical storm
2011,Banyan,Ramon,Negros Occidental,0,15,0,0,0,0,0,Tropical storm
2011,Banyan,Ramon,Southern Leyte,0,1832,0,0,0,0,0,Tropical storm
2011,Banyan,Ramon,Misamis Oriental,0,1229,0,0,0,0,0,Tropical storm
2011,Banyan,Ramon,South Cotabato,0,232,0,0,0,0,0,Tropical storm
2011,Banyan,Ramon,Dinagat Islands,0,184,0,0,0,0,0,Tropical storm
2011,Washi,Sendong,Bohol,0,10000,0,0,0,0,0,Severe tropical storm
2011,Washi,Sendong,Negros Oriental,38,72556,1499,6583,8082,0,0,Severe tropical storm
2011,Washi,Sendong,Zamboanga del Norte,11,4947,9,0,9,0,0,Severe tropical storm
2011,Washi,Sendong,Bukidnon,42,14531,342,112,454,31444000,41858791,Severe tropical storm
2011,Washi,Sendong,Lanao del Norte,490,483165,5249,14874,20123,287171100,37447176,Severe tropical storm
2011,Washi,Sendong,Misamis Oriental,674,423920,7469,13059,20528,894493047,191009635,Severe tropical storm
2011,Washi,Sendong,Davao de Oro,5,2510,16,2,18,0,0,Severe tropical storm
2011,Washi,Sendong,Davao del Norte,0,2570,0,0,0,0,0,Severe tropical storm
2011,Washi,Sendong,Agusan del Sur,0,320,15,0,15,0,0,Severe tropical storm
2011,Washi,Sendong,Surigao del Sur,1,14328,204,2708,2912,15436000,1551400,Severe tropical storm
2011,Washi,Sendong,Lanao del Sur,4,139879,56,151,207,0,0,Severe tropical storm
2011,Washi,Sendong,Camarines Sur,2,0,0,0,0,0,384715,Severe tropical storm
2011,Washi,Sendong,Cebu,1,0,0,0,0,0,0,Severe tropical storm
2011,Washi,Sendong,Misamis Occidental,0,0,24,63,87,204825000,588823,Severe tropical storm
2012,Ferdie,,Rizal,2,385,0,0,0,0,0,Strong typhoon
2012,Ferdie,,Camarines Sur,2,0,0,0,0,0,0,Strong typhoon
2012,Ferdie,,Laguna,1,1,0,0,0,0,0,Strong typhoon
2012,Ferdie,,La Union,1,0,0,0,0,0,0,Strong typhoon
2012,Ferdie,,Metro Manila,0,784,0,0,0,0,0,Strong typhoon
2012,Ferdie,,Bulacan,0,109,0,0,0,0,0,Strong typhoon
2012,Ferdie,,Cavite,0,175,0,0,0,0,0,Strong typhoon
2012,Ferdie,,Occidental Mindoro,0,3664,0,0,0,5400000,1032000,Strong typhoon
2012,Igme,,La Union,4,5527,0,29,29,0,0,Strong typhoon
2012,Igme,,Ilocos Sur,0,79,1,13,14,0,0,Strong typhoon
2012,Igme,,Misamis Oriental,0,0,0,2,2,0,0,Strong typhoon
2012,Igme,,Zamboanga del Sur,3,0,0,0,0,0,0,Strong typhoon
2012,Igme,,Quezon,1,0,0,0,0,0,0,Strong typhoon
2012,Jelawat,Lawin,Palawan,0,273,0,0,0,0,0,Violent typhoon
2012,Jelawat,Lawin,Zamboanga del Sur,0,7648,0,0,0,0,0,Violent typhoon
2012,Gaemi,Marce,Zambales,0,32,0,0,0,0,0,Severe tropical storm
2012,Gaemi,Marce,Occidental Mindoro,0,290,0,0,0,0,0,Severe tropical storm
2012,Son-Tinh,Ofel,Batangas,8,2478,26,104,130,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Marinduque,2,2236,5,0,5,53000000,1899970,Very strong typhoon
2012,Son-Tinh,Ofel,Oriental Mindoro,3,38972,113,1657,1770,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Romblon,4,5690,28,201,229,8700000,0,Very strong typhoon
2012,Son-Tinh,Ofel,Masbate,1,4018,27,411,438,0,2737650,Very strong typhoon
2012,Son-Tinh,Ofel,Sorsogon,1,0,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Cebu,2,0,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Leyte,1,2274,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Sarangani,1,605,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Cotabato,4,0,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Quezon,0,4294,35,168,203,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Occidental Mindoro,0,70,0,14,14,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Samar,0,6070,2,3,5,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Southern Leyte,0,1887,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Zamboanga del Sur,0,20247,0,0,0,0,0,Very strong typhoon
2012,Son-Tinh,Ofel,Zamboanga Sibugay,0,24555,0,0,0,110000,21432000,Very strong typhoon
2012,Son-Tinh,Ofel,Misamis Occidental,0,3000,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Palawan,3,6060,875,424,1299,431000000,162378015,Very strong typhoon
2012,Bopha,Pablo,Guimaras,0,805,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Iloilo,0,581,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Negros Occidental,0,7076,75,603,678,5300000,1421000,Very strong typhoon
2012,Bopha,Pablo,Bohol,0,7869,20,85,105,6450000,14560060,Very strong typhoon
2012,Bopha,Pablo,Cebu,6,21459,423,2189,2612,11100000,3263555,Very strong typhoon
2012,Bopha,Pablo,Negros Oriental,2,39114,395,2642,3037,0,969060,Very strong typhoon
2012,Bopha,Pablo,Siquijor,2,22000,303,3373,3676,9000000,498220,Very strong typhoon
2012,Bopha,Pablo,Leyte,0,1214,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Northern Samar,1,5,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Southern Leyte,1,4665,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Zamboanga del Norte,0,602,0,0,0,0,0,Very strong typhoon
2012,Bopha,Pablo,Zamboanga del Sur,0,2214,0,0,0,0,1691370,Very strong typhoon
